提案類型,現況名稱,建議SKU,編碼群組,編碼原則摘要,來源檔案,備註
內包裝新增項,奶油-焦糖牛奶-單片,Q1001,Q_奶油單片,Q1-Q5 保留整包；奶油單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 Q1
內包裝新增項,奶油-法國巧克力-單片,Q2001,Q_奶油單片,Q1-Q5 保留整包；奶油單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 Q2
內包裝新增項,奶油-蜂蜜檸檬-單片,Q3001,Q_奶油單片,Q1-Q5 保留整包；奶油單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 Q3
內包裝新增項,奶油-伯爵紅茶-單片,Q4001,Q_奶油單片,Q1-Q5 保留整包；奶油單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 Q4
內包裝新增項,奶油-抹茶-單片,Q5001,Q_奶油單片,Q1-Q5 保留整包；奶油單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 Q5
內包裝新增項,瓦片-原味-單片,C1001,C_瓦片單片,C1-C7 保留秤重母項；瓦片單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 C1
內包裝新增項,瓦片-紅茶-單片,C2001,C_瓦片單片,C1-C7 保留秤重母項；瓦片單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 C2
內包裝新增項,瓦片-巧克力-單片,C3001,C_瓦片單片,C1-C7 保留秤重母項；瓦片單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 C3
內包裝新增項,瓦片-海苔-單片,C4001,C_瓦片單片,C1-C7 保留秤重母項；瓦片單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 C4
內包裝新增項,瓦片-抹茶-單片,C5001,C_瓦片單片,C1-C7 保留秤重母項；瓦片單片衍生項獨立編碼,/workspaces/Ivyhouse_op_system/project_maintainers/chat/2026-03-25_內包裝完成品主檔_template.csv,對應母項 C5
